FIPS,TFPYRM1999,TFPYRM2000,TFPYRM2001,TFPYRM2002,TFPYRM2003,TFPYRM2004,TFPYRM2005,TFPYRM2006,TFPYRM2007,TFPYRM2008,TFPYRM2009,TFPYRM2010,statename,stfips
01001,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01003,154.72803,160.52606,167.90195,164.84372,167.81947,169.36385,171.58078,180.86066,192.0166,202.91586,204.75861,207.26572,Alabama,01
01005,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,,01
01007,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01009,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01011,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01013,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01015,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01017,154.74593,159.76266,164.69034,163.46727,166.51817,166.67767,169.11116,178.56262,185.37369,198.36096,199.78276,203.30945,Alabama,01
01019,154.74593,159.76266,164.69034,163.46727,166.51817,166.67767,169.11116,178.56262,185.37369,198.36096,199.78276,203.30945,,01
01021,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01023,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01025,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01027,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01029,154.74593,159.76266,164.69034,163.46727,166.51817,166.67767,169.11116,178.56262,185.37369,198.36096,199.78276,203.30945,,01
01031,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,Alabama,01
01033,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01035,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01037,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01039,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01041,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01043,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01045,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,Alabama,01
01047,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01049,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01051,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01053,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01055,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01057,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01059,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01061,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,Alabama,01
01063,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01065,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01067,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,Alabama,01
01069,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,Alabama,01
01071,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,Alabama,01
01073,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01075,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01077,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01079,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01081,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,Alabama,01
01083,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01085,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01087,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01089,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01091,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01093,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01095,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01097,154.72803,160.52606,167.90195,164.84372,167.81947,169.36385,171.58078,180.86066,192.0166,202.91586,204.75861,207.26572,Alabama,01
01099,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01101,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01103,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01105,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01107,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,Alabama,01
01109,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01111,154.74593,159.76266,164.69034,163.46727,166.51817,166.67767,169.11116,178.56262,185.37369,198.36096,199.78276,203.30945,,01
01113,,,,158.63771,159.57498,162.81538,161.63745,172.58884,184.83589,196.82159,200.12282,204.24229,Alabama,01
01115,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01117,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01119,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01121,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01123,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01125,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01127,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Alabama,01
01129,,,,157.56322,156.46799,157.0161,160.78394,172.45454,181.81258,193.15361,195.58437,203.90587,,01
01131,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
01133,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,01
04001,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,,04
04003,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04005,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04007,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
04009,158.40164,168.12433,169.80556,173.81624,177.66029,183.19025,180.10411,190.99469,197.286,206.51923,205.78336,209.92278,Arizona,04
